user_name;user_id;accommodation_id;accommodation_name;accommodation_address;accommodation_city;accommodation_postal_code;accommodation_country;accommodation_type;distribution;max_guests;last_update
Fuentes-Toro;791;2507;"Apartamentos Silvia resort";"Plaça Rubén, 284, Bajos";"La Acuña del Vallès";67026;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":2}]}";3;"2021-05-26 04:16:01"
"Elizondo-Alcántar e Hija";575;2508;"Apartamento Nuria resort";"Paseo Antón, 767, 1º";"Esparza Medio";56983;ES;VILLA;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":1},{""beds"":1},{""beds"":2},{""beds"":2}]}";8;"2021-05-16 07:43:02"
"Gestora Gurule-Gil";677;2509;"Hotel Lucía park";"Camino Armijo, 74, 61º C";"Villa Saavedra de San Pedro";45770;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":1}]}";3;"2020-03-24 18:49:05"
"Zúñiga de Casas";307;2510;"Apartamentos Samuel playa";"Praza Leo, 63, 9º A";"Bustos de la Sierra";02643;ES;VILLA;"{""living_rooms"":3,""bed_rooms"":[{""beds"":1},{""beds"":2},{""beds"":2}]}";6;"2021-03-10 19:42:33"
"Empresa Lomeli";298;2511;"Hostal José Antonio ";"Paseo Chávez, 559, 3º F";"San Pons";63295;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2}]}";3;"2020-10-17 11:58:06"
"Gestora Porras-Sanz";719;2512;"Hostal África ";"Travesía Manzano, 92, 43º E";"Pedroza del Mirador";27733;ES;VILLA;"{""living_rooms"":3,""bed_rooms"":[{""beds"":2},{""beds"":2},{""beds"":2}]}";6;"2020-09-11 17:32:08"
"Loya y Quintero y Asoc.";588;2513;"Casa rural Nuria ";"Avenida Alberto, 401, Ático 9º";"La Miranda de Ulla";61303;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":3}]}";4;"2020-10-17 06:41:33"
"Meraz y Giménez";468;2514;"Hostal Guillem playa";"Calle Vidal, 956, 7º B";"La Briones";29477;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2}]}";2;"2020-02-11 02:27:29"
"Badillo de Matías e Hija";216;2515;"Casa rural Oliver playa";"Plaça Martín, 8, 47º C";"L' Cortez";85868;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3},{""beds"":1}]}";5;"2020-05-04 11:25:12"
"Armas y Lira y Flia.";72;2516;"Hotel Luisa resort";"Paseo Salas, 996, 96º B";"Las Acuña del Barco";45305;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2}]}";3;"2021-10-17 13:45:53"
"Air Mata SA";589;2517;"Hotel Paula ";"Plaza Marroquín, 615, 68º D";"Os Ordóñez de las Torres";03850;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1}]}";2;"2020-05-29 23:58:17"
"Corporación Carbonell";615;2518;"Apartamento Ian park";"Paseo Rosario, 5, 18º B";"Ibarra de Arriba";42005;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3},{""beds"":1}]}";4;"2021-05-18 18:36:40"
Tamez-Negrón;868;2519;"Casa rural Sofía playa";"Plaza Juana, 899, Entre suelo 9º";"San Delapaz";93122;ES;VILLA;"{""living_rooms"":2,""bed_rooms"":[{""beds"":1},{""beds"":1},{""beds"":3},{""beds"":2},{""beds"":1}]}";12;"2019-11-23 08:03:07"
"Corporación Saavedra SRL";44;2520;"Apartamento Naiara park";"Rúa Rincón, 27, 06º F";"Villa Lebrón";09004;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1}]}";1;"2019-11-20 08:49:21"
"Marín, Domenech y Saldivar SRL";57;2521;"Villa José Antonio ";"Passeig Miguel Ángel, 8, 5º C";"El Lomeli de las Torres";70399;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":3}]}";5;"2021-08-26 12:17:25"
Clemente-Sánchez;356;2522;"Hotel Rayan playa";"Plaça Rosario, 7, 3º E";"A Jimínez de la Sierra";77973;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":3},{""beds"":3}]}";10;"2020-04-21 22:59:30"
"Linares y Vallejo e Hijo";79;2523;"Casa rural Mar ";"Travesía Eric, 982, Ático 2º";"Olivo Baja";00025;ES;VILLA;"{""living_rooms"":3,""bed_rooms"":[{""beds"":1},{""beds"":2},{""beds"":3},{""beds"":1}]}";9;"2021-03-13 13:23:10"
"Centro Altamirano y Flia.";483;2524;"Apartamentos Miguel playa";"Passeig Víctor, 7, Bajos";"La Rosario de Ulla";08168;ES;VILLA;"{""living_rooms"":3,""bed_rooms"":[{""beds"":1},{""beds"":2},{""beds"":3}]}";9;"2020-07-22 06:11:23"
"Corporación Hinojosa e Hijo";388;2525;"Hotel Francisco park";"Ruela Abril, 7, 0º F";"Las Mondragón";01248;ES;VILLA;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":2},{""beds"":3}]}";8;"2021-01-29 22:29:31"
"Vila, Sauceda y Batista e Hijos";45;2526;"Hotel Aurora park";"Calle Silvia, 562, 81º B";"A Marroquín";41717;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3},{""beds"":1},{""beds"":2}]}";8;"2020-08-24 04:12:26"
"Asociación Duarte-Gil";880;2527;"Hostal Carlos ";"Carrer Álvaro, 34, 9º";"Villa Franco de Lemos";72405;ES;VILLA;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":2},{""beds"":2},{""beds"":3},{""beds"":2}]}";12;"2020-05-15 21:11:19"
Cazares-Abeyta;982;2528;"Apartamento Josefa playa";"Calle Mateo, 89, 5º E";"Palacios del Bages";48733;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":3},{""beds"":2}]}";9;"2021-03-28 09:58:47"
"Velasco y Luna e Hijos";435;2529;"Apartamentos Adam resort";"Plaza Rocío, 20, Entre suelo 5º";"Cobo del Puerto";90285;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":2}]}";6;"2021-06-09 02:25:35"
"Bernal de Izquierdo e Hija";115;2530;"Apartamento Luisa resort";"Rúa Salvador, 2, 23º B";"La Corral del Penedès";45047;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":2},{""beds"":1}]}";7;"2020-08-17 02:58:03"
"Dávila y De la Cruz y Asoc.";266;2531;"Hostal Gloria playa";"Ronda Adriana, 90, 51º C";"Villarreal del Barco";93292;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":3}]}";5;"2020-03-01 01:41:45"
"Orta-Aguilar y Flia.";162;2532;"Apartamento Berta playa";"Travesía Cervántez, 682, 2º 4º";"Las Apodaca";23617;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1}]}";2;"2020-12-25 16:44:56"
"Hinojosa de Puig SRL";949;2533;"Hostal Isabel playa";"Plaça Yolanda, 446, 7º 4º";"L' Arteaga";05350;ES;VILLA;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":3},{""beds"":2},{""beds"":1},{""beds"":2}]}";9;"2020-09-20 12:52:58"
"Ávalos de Paz";131;2534;"Apartamentos Izan playa";"Paseo Arnau, 94, 5º D";"Os Saldaña de las Torres";49078;ES;VILLA;"{""living_rooms"":2,""bed_rooms"":[{""beds"":2},{""beds"":3},{""beds"":3},{""beds"":2}]}";10;"2021-07-01 11:30:00"
"Global Ordoñez y Flia.";311;2535;"Hostal Pol park";"Plaza Noa, 43, 1º F";"As Flores";13198;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":1}]}";4;"2021-08-22 04:19:16"
Díaz-Barrera;466;2536;"Hotel Josefa ";"Passeig Candelaria, 786, 1º A";"As Martos";78815;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3}]}";4;"2020-10-02 03:31:13"
"Puga de Lomeli e Hijos";299;2537;"Casa rural Alonso ";"Avenida Mares, 913, 04º C";"Rosado del Vallès";46875;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":2},{""beds"":1}]}";5;"2020-05-07 08:14:47"
"Romo de Vélez";557;2538;"Hotel Marcos playa";"Camiño Garza, 864, 1º D";"La Alonso";75082;ES;VILLA;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":1},{""beds"":1}]}";6;"2020-08-09 19:56:29"
"Noriega de Villegas e Hijo";98;2539;"Hotel Úrsula ";"Travessera Andreu, 56, 92º C";"Los Cuellar del Bages";91278;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":3},{""beds"":2}]}";6;"2020-06-09 23:28:48"
"Perea y Ruelas SRL";667;2540;"Hostal Yeray resort";"Ruela Anguiano, 172, 4º E";"O Gamboa Medio";00772;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3},{""beds"":3}]}";9;"2021-03-29 06:39:47"
"Viajes Rojo SA";860;2541;"Apartamentos Sergio resort";"Plaça Huerta, 25, 87º A";"O Baeza de Lemos";78122;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":2}]}";3;"2021-01-07 02:43:03"
"Calvillo de Bautista S. de H.";38;2542;"Apartamentos Ander playa";"Calle Salcido, 902, 20º 3º";"Vall Puga";69803;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":3},{""beds"":3}]}";10;"2020-08-04 00:33:56"
"Asociación Carvajal y Flia.";658;2543;"Apartamentos Dario resort";"Rúa Ángel, 397, 16º E";"El Serrato del Puerto";57727;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":2}]}";6;"2021-08-20 13:00:34"
"Global Puga-Polanco";548;2544;"Hostal Cristina resort";"Travessera Alexia, 7, 63º 3º";"La Godoy";38978;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1}]}";1;"2020-04-01 20:42:19"
"Air Juan";363;2545;"Casa rural Ariadna ";"Avenida Diego, 43, 12º 5º";"Mendoza del Bages";51101;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3},{""beds"":3},{""beds"":2}]}";9;"2020-10-29 14:28:24"
"Córdova de Salcedo";606;2546;"Hostal Alexia playa";"Ruela Sandra, 4, 6º D";"Villa Perea";82923;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":2}]}";4;"2020-02-27 15:01:49"
"Grupo Pacheco";178;2547;"Apartamento Francisca resort";"Ronda Vargas, 9, 2º";"Los Leal del Vallès";00406;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":3},{""beds"":2}]}";7;"2021-05-07 03:22:09"
"Corporación Paredes y Flia.";794;2548;"Villa Pol park";"Plaza Venegas, 4, 44º A";"O Dávila";07403;ES;VILLA;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3},{""beds"":3},{""beds"":3},{""beds"":3}]}";15;"2020-01-07 12:58:52"
"Empresa Vergara y Flia.";644;2549;"Villa Marta ";"Praza Dario, 10, 6º B";"Las Marroquín";97859;ES;VILLA;"{""living_rooms"":2,""bed_rooms"":[{""beds"":2},{""beds"":2},{""beds"":3},{""beds"":1},{""beds"":2}]}";11;"2021-05-26 07:10:05"
"Báez de Villalobos";52;2550;"Apartamentos Pablo ";"Calle Guillem, 344, 78º D";"Ureña de las Torres";68500;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":3}]}";5;"2021-08-14 05:50:12"
"Navarrete y Córdoba";100;2551;"Villa Margarita resort";"Travessera Francisco Javier, 6, 1º 1º";"O Peralta";27199;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3},{""beds"":2},{""beds"":1}]}";8;"2020-10-03 02:50:46"
Orta-Tapia;11;2552;"Hotel Verónica resort";"Calle Herrera, 62, 0º F";"Villa Contreras del Vallès";83664;ES;VILLA;"{""living_rooms"":2,""bed_rooms"":[{""beds"":1},{""beds"":1},{""beds"":2}]}";4;"2020-12-15 09:55:04"
"Arellano-Quintanilla y Flia.";769;2553;"Apartamento Jimena ";"Travessera Armas, 205, 80º D";"Las Pelayo";25975;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":3}]}";8;"2021-10-17 11:25:53"
"Ledesma-Saiz SRL";755;2554;"Hostal Margarita resort";"Passeig Salma, 8, 3º A";"Olivera de San Pedro";25751;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":2},{""beds"":2}]}";5;"2020-06-05 22:45:11"
"Tejada de Izquierdo y Flia.";288;2555;"Hostal Úrsula park";"Plaza María, 23, 0º B";"El Coronado de San Pedro";81918;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":1}]}";5;"2020-02-02 12:02:19"
"Vidal de Aguado y Asoc.";306;2556;"Villa Paula park";"Calle Marta, 68, 50º A";"Los Millán del Penedès";56260;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3}]}";3;"2020-02-22 12:09:07"
"Valle, Quesada y Ceballos e Hijos";484;2557;"Apartamentos María Dolores playa";"Ruela Espinosa, 18, 0º 0º";"Las Giménez";34936;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3}]}";4;"2020-01-13 13:01:25"
Medrano-Alaniz;128;2558;"Apartamentos Biel ";"Paseo Nuria, 647, 52º F";"La Paz";12493;ES;VILLA;"{""living_rooms"":2,""bed_rooms"":[{""beds"":3},{""beds"":1},{""beds"":1},{""beds"":1}]}";9;"2020-06-09 06:35:34"
"Melgar y Muro e Hijo";84;2559;"Villa Juan playa";"Ruela Bravo, 85, 7º 9º";"L' Ulloa Alta";08673;ES;VILLA;"{""living_rooms"":3,""bed_rooms"":[{""beds"":1},{""beds"":1},{""beds"":2},{""beds"":2},{""beds"":2},{""beds"":3}]}";13;"2021-10-01 12:26:44"
"Colunga y Sola y Asoc.";255;2560;"Hostal César playa";"Calle Cortez, 375, Bajos";"Vall Ayala";43600;ES;VILLA;"{""living_rooms"":2,""bed_rooms"":[{""beds"":3},{""beds"":1},{""beds"":2}]}";9;"2020-09-13 23:36:17"
"Asociación Luis y Flia.";784;2561;"Apartamentos Silvia resort";"Ronda Vidal, 68, 2º D";"El Barroso";54362;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":2}]}";5;"2020-01-03 13:42:12"
"Simón-Bustos y Asoc.";961;2562;"Apartamentos Gael playa";"Plaça Olga, 450, 08º E";"L' Moreno de Ulla";45347;ES;VILLA;"{""living_rooms"":3,""bed_rooms"":[{""beds"":3},{""beds"":3},{""beds"":3},{""beds"":1}]}";10;"2021-06-25 03:26:30"
"Marcos, Madera y Mendoza e Hijo";456;2563;"Apartamentos Laura park";"Carrer Carlota, 9, 8º";"Vall Cuellar";86624;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3},{""beds"":1}]}";6;"2020-06-09 15:44:14"
"Manzanares de Gastélum e Hijo";19;2564;"Apartamento Lorena resort";"Camiño Francisco Javier, 699, 44º A";"Os Casas";49151;ES;VILLA;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":3},{""beds"":3}]}";11;"2019-12-29 08:29:36"
"Global Domingo e Hijos";682;2565;"Hotel Gonzalo park";"Camiño Yeray, 80, Bajos";"L' Aguilar";32870;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":1},{""beds"":1}]}";3;"2020-07-23 16:39:19"
Fonseca-Valadez;362;2566;"Apartamento Úrsula playa";"Ruela Yeray, 7, 70º C";"Las Roig";41425;ES;VILLA;"{""living_rooms"":2,""bed_rooms"":[{""beds"":2},{""beds"":3},{""beds"":2}]}";7;"2021-09-28 21:57:21"
"Yáñez, Orta y Oliva SA";884;2567;"Apartamento Carlota ";"Paseo Guerrero, 6, 8º C";"Orta del Penedès";58544;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2}]}";2;"2020-09-28 13:17:04"
"Portillo de Gutiérrez e Hijo";979;2568;"Apartamento Esther park";"Calle Diego, 875, 08º A";"Cortés del Puerto";44935;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":3},{""beds"":1}]}";7;"2020-06-15 13:19:48"
"Air Santana-Ros";915;2569;"Apartamento Rosa park";"Paseo Jordi, 9, 4º A";"San Peña de Ulla";38351;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":1}]}";2;"2020-06-03 21:40:39"
"Empresa Cedillo";174;2570;"Hostal Antonio playa";"Paseo Sergio, 444, 07º F";"Magaña de Ulla";84902;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3},{""beds"":3}]}";6;"2020-11-08 15:34:02"
"Carrillo y Toro";800;2571;"Apartamentos María resort";"Carrer Carlota, 1, 39º B";"La Centeno del Mirador";47175;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2}]}";3;"2020-05-16 12:21:22"
"Global Munguía-Domenech";715;2572;"Casa rural Rodrigo ";"Camino Sánchez, 3, 0º 0º";"Villa Aguilera del Barco";18903;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":3}]}";7;"2021-04-20 08:32:20"
"Canales y Garrido";600;2573;"Casa rural Claudia park";"Praza Razo, 95, 6º C";"El Caldera";08165;ES;VILLA;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":3},{""beds"":2},{""beds"":2}]}";8;"2021-04-24 05:34:18"
"Gestora Jasso-Yáñez";230;2574;"Villa Ana Isabel resort";"Passeig Lucía, 664, 2º F";"Vall Manzano";91504;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3}]}";5;"2021-10-29 00:16:31"
Córdoba-Santiago;472;2575;"Casa rural Blanca ";"Travesía Tejada, 88, 7º A";"Llorente de Ulla";51056;ES;VILLA;"{""living_rooms"":2,""bed_rooms"":[{""beds"":3},{""beds"":3},{""beds"":2}]}";11;"2020-10-02 02:04:45"
"Gestora Correa SRL";214;2576;"Apartamentos Óscar resort";"Camiño Aitana, 51, 6º";"Conde del Bages";72423;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":1}]}";2;"2020-06-10 03:40:45"
"Elizondo-Alvarado e Hijos";78;2577;"Villa Andrés ";"Travesía Montero, 3, Ático 1º";"Los Carrillo Alta";21701;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":2}]}";5;"2020-11-27 02:21:15"
"Escudero-Tamayo S. de H.";501;2578;"Apartamento Olivia resort";"Camino Morán, 824, Entre suelo 8º";"A Amador Medio";67893;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3}]}";4;"2020-02-15 11:10:06"
"Asociación Carvajal y Flia.";658;2579;"Casa rural José Antonio park";"Passeig Marcos, 81, Entre suelo 9º";"O Clemente";86698;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1}]}";1;"2021-02-03 21:12:10"
Quintanilla-Mata;6;2580;"Apartamentos Olga ";"Plaza Sánchez, 745, 55º A";"Las Rivero de Lemos";39317;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3},{""beds"":1}]}";6;"2020-05-30 23:04:08"
"Terrazas de Solorzano";684;2581;"Casa rural Pilar playa";"Passeig Paola, 7, 10º D";"As Camarillo";76742;ES;VILLA;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":1},{""beds"":2},{""beds"":2}]}";7;"2019-12-27 17:59:50"
"Rolón, Corrales y Ballesteros SRL";473;2582;"Apartamentos Victoria park";"Passeig Adriana, 62, 0º";"Vall Limón";53319;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3},{""beds"":2}]}";8;"2020-03-01 23:10:44"
"Berríos, Reina y Rosa y Flia.";308;2583;"Casa rural Sonia resort";"Plaza Serra, 4, Bajo 9º";"El Valverde";66802;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":2},{""beds"":1}]}";6;"2021-06-11 00:31:52"
"Corral, Madera y Amador e Hijos";62;2584;"Hostal Óscar ";"Plaça Serra, 817, Ático 0º";"Rojo de Lemos";30024;ES;VILLA;"{""living_rooms"":3,""bed_rooms"":[{""beds"":3},{""beds"":2},{""beds"":2},{""beds"":1},{""beds"":2}]}";13;"2021-05-03 21:20:26"
"Global Rosas e Hijos";928;2585;"Apartamento Ainhoa ";"Avinguda Francisca, 8, 75º E";"O Mares del Pozo";70525;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3}]}";3;"2021-09-17 13:02:42"
"Campos de Alarcón y Flia.";536;2586;"Apartamentos Diana resort";"Paseo Hinojosa, 78, Ático 3º";"San Anguiano Baja";77283;ES;VILLA;"{""living_rooms"":3,""bed_rooms"":[{""beds"":3},{""beds"":1},{""beds"":1},{""beds"":3}]}";11;"2021-02-09 10:23:35"
"Loya y Quintero y Asoc.";588;2587;"Villa Alonso resort";"Plaça Laura, 6, 3º A";"El Curiel del Puerto";25525;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":2}]}";3;"2020-01-30 12:34:52"
"Meléndez de Ruiz";293;2588;"Hostal Bruno park";"Plaça Solorio, 1, 0º B";"Os Alva";65313;ES;VILLA;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":1},{""beds"":2},{""beds"":3},{""beds"":3}]}";14;"2021-09-01 02:55:10"
"Gestora Guevara e Hijos";181;2589;"Apartamentos Fernando resort";"Paseo Guerrero, 195, 99º A";"La Valencia";97174;ES;VILLA;"{""living_rooms"":2,""bed_rooms"":[{""beds"":1},{""beds"":1},{""beds"":2}]}";4;"2020-11-21 22:13:23"
"Castellano y Valentín";621;2590;"Apartamentos María Dolores park";"Calle Villalpando, 3, 44º B";"El Prieto de las Torres";34804;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3}]}";5;"2020-04-26 19:31:14"
"Mota de Urías SRL";401;2591;"Hostal Cristian resort";"Ruela María Carmen, 433, 9º E";"San Banda de las Torres";69973;ES;VILLA;"{""living_rooms"":2,""bed_rooms"":[{""beds"":2},{""beds"":2},{""beds"":2},{""beds"":1},{""beds"":2},{""beds"":2}]}";16;"2021-11-04 06:35:58"
"Vergara-Rivas e Hijos";26;2592;"Hostal Alonso park";"Plaza Sáenz, 664, 54º F";"Os Véliz Medio";74602;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":3}]}";7;"2021-05-08 16:33:20"
Vela-Feliciano;828;2593;"Apartamento Jordi resort";"Camino Blanca, 42, 87º F";"As Antón de San Pedro";65665;ES;VILLA;"{""living_rooms"":3,""bed_rooms"":[{""beds"":3},{""beds"":1},{""beds"":1},{""beds"":3},{""beds"":2}]}";13;"2021-09-04 22:33:08"
"Rivero de Arellano";133;2594;"Casa rural Diana ";"Rúa Francisco Javier, 5, 94º E";"As Tello Alta";61707;ES;VILLA;"{""living_rooms"":3,""bed_rooms"":[{""beds"":1},{""beds"":2},{""beds"":1},{""beds"":2},{""beds"":3},{""beds"":2}]}";16;"2020-07-12 18:58:03"
"Viajes Aguilera";27;2595;"Apartamento Eric playa";"Passeig García, 963, 6º A";"San Cobo de la Sierra";13898;ES;VILLA;"{""living_rooms"":2,""bed_rooms"":[{""beds"":3},{""beds"":2},{""beds"":2},{""beds"":1}]}";11;"2020-09-29 18:45:36"
"Varela-Medrano y Asoc.";850;2596;"Villa Marina park";"Travessera Asier, 358, 0º";"Las Moya";34794;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3}]}";5;"2021-06-08 19:37:48"
"Grupo Coronado";481;2597;"Hostal Daniel park";"Camino Medrano, 2, Ático 0º";"El Cano del Vallès";10044;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2}]}";2;"2021-08-15 21:21:52"
"Aparicio de Alaniz";577;2598;"Apartamento Ismael park";"Praza Valles, 5, Bajos";"San Saldaña del Pozo";39542;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":2}]}";4;"2021-05-08 22:30:23"
"Martí y Palacios";835;2599;"Hostal Rosario playa";"Camino Rubio, 6, 1º C";"Marrero de las Torres";06065;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":2}]}";4;"2020-09-18 15:05:21"
"Ulibarri, Navarrete y Escobar e Hijos";369;2600;"Apartamento Carlos ";"Plaça Galván, 201, 25º 4º";"Perea Alta";61197;ES;VILLA;"{""living_rooms"":3,""bed_rooms"":[{""beds"":2},{""beds"":1},{""beds"":1},{""beds"":2}]}";8;"2020-05-24 18:26:09"
"Campos de Alarcón y Flia.";536;2601;"Apartamento Eduardo resort";"Rúa Nayara, 78, 1º 0º";"Las Casanova de las Torres";34075;ES;VILLA;"{""living_rooms"":2,""bed_rooms"":[{""beds"":2},{""beds"":1},{""beds"":3},{""beds"":1},{""beds"":3},{""beds"":1}]}";15;"2020-12-28 20:19:22"
"Martínez y Delapaz";604;2602;"Villa Naiara ";"Plaza Sepúlveda, 7, 3º F";"A Juárez";13435;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":2},{""beds"":2}]}";6;"2021-09-11 02:55:37"
"Márquez, Cárdenas y Silva S. de H.";898;2603;"Apartamentos Alejandro park";"Carrer Aitana, 258, Ático 6º";"Los Rojas";92195;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3},{""beds"":3}]}";8;"2021-04-11 05:29:16"
"Corporación Polo y Asoc.";239;2604;"Apartamento Pilar playa";"Camino Víctor, 8, 3º C";"El Zavala del Vallès";86394;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":2}]}";3;"2020-10-15 02:42:14"
"Gestora Urbina-Padrón";807;2605;"Apartamentos Isabel playa";"Ronda Guerrero, 26, 44º C";"La Padilla del Puerto";71704;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":1},{""beds"":3}]}";7;"2021-05-23 09:22:23"
"Acuña de Lozada y Asoc.";768;2606;"Apartamento Javier playa";"Plaza Natalia, 3, 2º C";"Olmos de la Sierra";63149;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3},{""beds"":2}]}";7;"2020-05-21 18:18:03"
"Centro Lara-Saiz";278;2607;"Casa rural Diego park";"Passeig Eduardo, 39, Bajo 7º";"Caro del Barco";76642;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":2}]}";3;"2021-07-31 23:46:25"
"Corporación Polanco";973;2608;"Hostal Gloria ";"Camino Noelia, 8, 6º F";"Vall Salazar de Ulla";28398;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":3}]}";7;"2021-08-02 00:52:55"
Muñoz-Colunga;409;2609;"Hotel Joel resort";"Paseo Ferrer, 45, 28º A";"Toro del Barco";67995;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3},{""beds"":3},{""beds"":1}]}";10;"2020-03-02 22:35:18"
